[2024-12-18T10:42:43.742+0000] {processor.py:161} INFO - Started process (PID=85) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-12-18T10:42:43.743+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-12-18T10:42:43.744+0000] {logging_mixin.py:188} INFO - [2024-12-18T10:42:43.743+0000] {dagbag.py:545} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-12-18T10:42:43.753+0000] {processor.py:840} INFO - DAG(s) 'dataset_produces_1', 'dataset_consumes_1', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1_and_2', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'consume_1_and_2_with_dataset_expressions', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'dataset_produces_2', 'conditional_dataset_and_time_based_timetable' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-12-18T10:42:43.777+0000] {logging_mixin.py:188} INFO - [2024-12-18T10:42:43.777+0000] {dag.py:3089} INFO - Sync 10 DAGs
[2024-12-18T10:42:43.789+0000] {logging_mixin.py:188} INFO - [2024-12-18T10:42:43.789+0000] {dag.py:3947} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-12-18 01:00:00+00:00, run_after=2024-12-18 01:00:00+00:00
[2024-12-18T10:42:43.792+0000] {logging_mixin.py:188} INFO - [2024-12-18T10:42:43.792+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-12-18T10:42:43.795+0000] {logging_mixin.py:188} INFO - [2024-12-18T10:42:43.795+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-12-18T10:42:43.798+0000] {logging_mixin.py:188} INFO - [2024-12-18T10:42:43.798+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-12-18T10:42:43.798+0000] {logging_mixin.py:188} INFO - [2024-12-18T10:42:43.798+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-12-18T10:42:43.799+0000] {logging_mixin.py:188} INFO - [2024-12-18T10:42:43.799+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-12-18T10:42:43.800+0000] {logging_mixin.py:188} INFO - [2024-12-18T10:42:43.800+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-12-18T10:42:43.800+0000] {logging_mixin.py:188} INFO - [2024-12-18T10:42:43.800+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-12-18T10:42:43.802+0000] {logging_mixin.py:188} INFO - [2024-12-18T10:42:43.802+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_produces_1 to 2024-12-17 00:00:00+00:00, run_after=2024-12-18 00:00:00+00:00
[2024-12-18T10:42:43.803+0000] {logging_mixin.py:188} INFO - [2024-12-18T10:42:43.803+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-12-18T10:42:43.817+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.078 seconds
