[2025-02-06T20:34:29.935+0000] {processor.py:161} INFO - Started process (PID=102) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-02-06T20:34:29.937+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-02-06T20:34:29.942+0000] {logging_mixin.py:188} INFO - [2025-02-06T20:34:29.942+0000] {dagbag.py:545} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-02-06T20:34:29.976+0000] {processor.py:840} INFO - DAG(s) 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1_and_2', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1', 'conditional_dataset_and_time_based_timetable', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'dataset_produces_2', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_produces_1' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-02-06T20:34:30.018+0000] {logging_mixin.py:188} INFO - [2025-02-06T20:34:30.018+0000] {dag.py:3089} INFO - Sync 10 DAGs
[2025-02-06T20:34:30.041+0000] {logging_mixin.py:188} INFO - [2025-02-06T20:34:30.041+0000] {dag.py:3947} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-02-05 01:00:00+00:00, run_after=2025-02-05 01:00:00+00:00
[2025-02-06T20:34:30.045+0000] {logging_mixin.py:188} INFO - [2025-02-06T20:34:30.045+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-02-06T20:34:30.047+0000] {logging_mixin.py:188} INFO - [2025-02-06T20:34:30.047+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-02-06T20:34:30.047+0000] {logging_mixin.py:188} INFO - [2025-02-06T20:34:30.047+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-02-06T20:34:30.048+0000] {logging_mixin.py:188} INFO - [2025-02-06T20:34:30.048+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-02-06T20:34:30.049+0000] {logging_mixin.py:188} INFO - [2025-02-06T20:34:30.049+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-02-06T20:34:30.050+0000] {logging_mixin.py:188} INFO - [2025-02-06T20:34:30.050+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-02-06T20:34:30.050+0000] {logging_mixin.py:188} INFO - [2025-02-06T20:34:30.050+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-02-06T20:34:30.051+0000] {logging_mixin.py:188} INFO - [2025-02-06T20:34:30.051+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_produces_1 to 2025-02-05 00:00:00+00:00, run_after=2025-02-06 00:00:00+00:00
[2025-02-06T20:34:30.055+0000] {logging_mixin.py:188} INFO - [2025-02-06T20:34:30.055+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-02-06T20:34:30.090+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.158 seconds
