[2025-02-27T14:59:30.600+0000] {processor.py:161} INFO - Started process (PID=103) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-02-27T14:59:30.604+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-02-27T14:59:30.606+0000] {logging_mixin.py:188} INFO - [2025-02-27T14:59:30.606+0000] {dagbag.py:545} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-02-27T14:59:30.652+0000] {processor.py:840} INFO - DAG(s) 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'dataset_produces_1', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_1_and_2', 'dataset_produces_2', 'dataset_consumes_1', 'conditional_dataset_and_time_based_timetable' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-02-27T14:59:30.856+0000] {logging_mixin.py:188} INFO - [2025-02-27T14:59:30.843+0000] {dag.py:3089} INFO - Sync 10 DAGs
[2025-02-27T14:59:31.033+0000] {logging_mixin.py:188} INFO - [2025-02-27T14:59:31.032+0000] {dag.py:3947} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-02-26 01:00:00+00:00, run_after=2025-02-26 01:00:00+00:00
[2025-02-27T14:59:31.042+0000] {logging_mixin.py:188} INFO - [2025-02-27T14:59:31.042+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-02-27T14:59:31.043+0000] {logging_mixin.py:188} INFO - [2025-02-27T14:59:31.043+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-02-27T14:59:31.044+0000] {logging_mixin.py:188} INFO - [2025-02-27T14:59:31.044+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-02-27T14:59:31.108+0000] {logging_mixin.py:188} INFO - [2025-02-27T14:59:31.108+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-02-27T14:59:31.110+0000] {logging_mixin.py:188} INFO - [2025-02-27T14:59:31.109+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-02-27T14:59:31.112+0000] {logging_mixin.py:188} INFO - [2025-02-27T14:59:31.112+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-02-27T14:59:31.114+0000] {logging_mixin.py:188} INFO - [2025-02-27T14:59:31.114+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-02-27T14:59:31.116+0000] {logging_mixin.py:188} INFO - [2025-02-27T14:59:31.116+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_produces_1 to 2025-02-26 00:00:00+00:00, run_after=2025-02-27 00:00:00+00:00
[2025-02-27T14:59:31.117+0000] {logging_mixin.py:188} INFO - [2025-02-27T14:59:31.117+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-02-27T14:59:31.248+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.657 seconds
