Ngày;Lần cuối;Mở;Cao;Thấp;KL; Thay đổi
10/6/2025;21050;21050;20900;20950;6;0
9/6/2025;21000;21050;20900;20950;6;0
6/6/2025;21050;21200;21000;21000;7;0
5/6/2025;21150;21200;21000;21000;5;0
04/6/2025;21300;21350;21100;21100;6;0
03/6/2025;21150;21300;21150;21250;7;0
02/6/2025;21100;21200;21000;21100;8;0
30/5/2025;21300;21350;21100;21100;8;0
29/5/2025;21450;21500;21300;21300;9;0
28/5/2025;21500;21550;21350;21400;8;0
27/5/2025;21600;21600;21400;21450;9;0
26/5/2025;21600;21650;21100;21500;10;0
23/5/2025;21550;21600;21450;21600;12;0
22/5/2025;21473;21515;21306;21348;21;0
21/5/2025;21515;21640;21390;21431;13;0
20/5/2025;21306;21431;21222;21390;18;0
19/5/2025;21264;21473;21139;21222;21;0
16/5/2025;21473;21473;21264;21264;15;0
15/5/2025;21306;21431;20972;21348;27;0
14/5/2025;20596;20847;20596;20721;12;0
13/5/2025;20512;20638;20429;20554;13;0
12/5/2025;20262;20429;20178;20387;11;0
9/5/2025;20429;20429;20136;20178;15;0
8/5/2025;20136;20178;20011;20178;10;0
7/5/2025;20220;20220;20011;20053;10;0
6/5/2025;20095;20220;20053;20053;9;0
5/5/2025;20262;20262;20053;20095;7;0
29/4/2025;20011;20220;20011;20095;4;0
28/4/2025;20095;20095;19927;20011;6;0
25/4/2025;20387;20387;19969;19969;18;0
24/4/2025;20387;20512;20178;20178;8;0
23/4/2025;20554;20554;20178;20554;7;0
22/4/2025;20303;20387;18925;20136;14;0
21/4/2025;20345;20471;20136;20136;7;0
18/4/2025;20471;20679;20429;20471;11;0
17/4/2025;20471;20512;20136;20303;11;0
16/4/2025;20429;20638;20178;20303;11;0
15/4/2025;20554;20638;20136;20136;17;0
14/4/2025;20763;21181;20554;20721;23;0
11/4/2025;20721;20805;20011;20763;44;0
10/4/2025;19468;19468;19468;19468;6;0
9/4/2025;17337;19092;17337;18215;38;0
8/4/2025;19301;19468;18507;18507;54;0
4/4/2025;18967;19886;18799;19886;72;0
3/4/25;24150.0;25150.0;25350.0;24150.0;39.69;-6.94
2/4/25;25950.0;26100.0;26200.0;25900.0;7.48;-0.38
1/4/25;26050.0;26000.0;26050.0;25900.0;3.05;0.19
31/3/25;26000.0;25850.0;26000.0;25800.0;9.13;0.19
28/3/25;25950.0;26000.0;26050.0;25850.0;9.73;-0.19
27/3/25;26000.0;26000.0;26200.0;25950.0;6.65;-0.57
26/3/25;26150.0;26300.0;26450.0;26100.0;7.43;-0.57
25/3/25;26300.0;26400.0;26450.0;26150.0;5.60;-0.19
24/3/25;26350.0;26250.0;26350.0;26050.0;7.89;0.96
21/3/25;26100.0;26250.0;26300.0;26100.0;4.13;-0.57
20/3/25;26250.0;26400.0;26450.0;26150.0;4.86;0.19
19/3/25;26200.0;26300.0;26300.0;26050.0;7.91;-0.38
18/3/25;26300.0;26300.0;26550.0;26250.0;6.01;0.38
17/3/25;26200.0;26100.0;26250.0;26000.0;5.66;0.77
14/3/25;26000.0;26200.0;26200.0;25900.0;11.55;-0.38
13/3/25;26100.0;26350.0;26450.0;26100.0;8.89;-0.76
12/3/25;26300.0;26500.0;26700.0;26200.0;7.80;-0.57
11/3/25;26450.0;26300.0;26450.0;26100.0;9.14;0.00
10/3/25;26450.0;26700.0;26750.0;26400.0;8.49;-0.75
7/3/25;26650.0;26500.0;26800.0;26350.0;10.71;0.95
6/3/25;26400.0;26250.0;26400.0;26150.0;5.07;0.96
5/3/25;26150.0;26300.0;26650.0;26150.0;11.67;0.00
4/3/25;26150.0;25900.0;26200.0;25800.0;9.96;0.58
3/3/25;26000.0;26000.0;26050.0;25800.0;5.60;0.00
28/2/25;26000.0;26000.0;26200.0;25800.0;5.47;-0.38
27/2/25;26100.0;26000.0;26100.0;25850.0;5.66;0.58
26/2/25;25950.0;26050.0;26100.0;25950.0;5.06;-0.19
25/2/25;26000.0;26150.0;26250.0;26000.0;6.48;-0.57
24/2/25;26150.0;26050.0;26250.0;26050.0;6.40;-0.19
21/2/25;26200.0;26000.0;26350.0;25950.0;12.72;0.96
20/2/25;25950.0;25850.0;25950.0;25750.0;5.71;0.58
19/2/25;25800.0;25750.0;25900.0;25700.0;5.03;0.19
18/2/25;25750.0;25800.0;26000.0;25750.0;5.16;-0.19
17/2/25;25800.0;25950.0;25950.0;25750.0;5.73;0.19
14/2/25;25750.0;25950.0;25950.0;25700.0;8.14;0.19
13/2/25;25700.0;25650.0;25750.0;25550.0;5.75;0.19
12/2/25;25650.0;25900.0;26000.0;25650.0;6.79;-0.77
11/2/25;25850.0;25850.0;25950.0;25700.0;5.42;0.19
10/2/25;25800.0;25650.0;26150.0;25500.0;14.03;0.39
7/2/25;25700.0;25500.0;25800.0;25400.0;9.88;0.78
6/2/25;25500.0;25500.0;25650.0;25400.0;5.59;0.39
5/2/25;25400.0;25250.0;25400.0;25200.0;7.49;0.59
4/2/25;25250.0;25250.0;25350.0;25050.0;4.90;0.60
3/2/25;25100.0;25050.0;25300.0;24900.0;4.77;-0.99
24/1/25;25350.0;25200.0;25500.0;25200.0;4.90;0.20
23/1/25;25300.0;24900.0;25400.0;24900.0;8.90;1.81
22/1/25;24850.0;25000.0;25000.0;24800.0;2.79;-0.40
21/1/25;24950.0;25050.0;25100.0;24850.0;4.34;-0.20
20/1/25;25000.0;24950.0;25050.0;24800.0;4.00;0.20
17/1/25;24950.0;24850.0;25000.0;24800.0;2.38;0.40
16/1/25;24850.0;24850.0;25050.0;24700.0;5.01;-0.20
15/1/25;24900.0;24850.0;24950.0;24650.0;7.43;1.01
14/1/25;24650.0;24750.0;24800.0;24500.0;5.06;-0.40
13/1/25;24750.0;24500.0;24850.0;24500.0;4.63;0.20
10/1/25;24700.0;24900.0;24950.0;24700.0;4.71;-1.00
9/1/25;24950.0;24950.0;25000.0;24850.0;3.84;-0.20
8/1/25;25000.0;25000.0;25000.0;24800.0;4.09;0.00
7/1/25;25000.0;24800.0;25050.0;24800.0;5.02;0.81
6/1/25;24800.0;25000.0;25050.0;24750.0;12.05;-1.20
3/1/25;25100.0;25500.0;25550.0;25100.0;5.02;-1.95
2/1/25;25600.0;25600.0;25700.0;25400.0;4.57;-0.78
31/12/24;25800.0;25400.0;25800.0;25350.0;8.84;1.57
30/12/24;25400.0;25350.0;25650.0;25350.0;5.00;-0.59
27/12/24;25550.0;25600.0;25700.0;25500.0;7.69;0.00
26/12/24;25550.0;25450.0;25550.0;25400.0;5.58;0.39
25/12/24;25450.0;25000.0;25600.0;24950.0;9.51;1.80
24/12/24;25000.0;24900.0;25000.0;24800.0;3.23;0.40
23/12/24;24900.0;24850.0;24950.0;24800.0;3.47;0.40
20/12/24;24800.0;24850.0;24900.0;24750.0;4.72;0.00
19/12/24;24800.0;25050.0;25050.0;24700.0;9.71;-1.39
18/12/24;25150.0;25250.0;25250.0;25100.0;3.38;-0.20
17/12/24;25200.0;25250.0;25250.0;25050.0;3.33;0.20
16/12/24;25150.0;25150.0;25250.0;25050.0;5.16;0.00
13/12/24;25150.0;25300.0;25300.0;25100.0;6.04;-0.59
12/12/24;25300.0;25400.0;25500.0;25250.0;5.86;-0.39
11/12/24;25400.0;25350.0;25500.0;25200.0;8.83;0.20
10/12/24;25350.0;25500.0;25500.0;25350.0;3.40;-0.59
9/12/24;25500.0;25600.0;25650.0;25350.0;5.41;-0.58
6/12/24;25650.0;25500.0;25750.0;25500.0;6.05;-0.19
5/12/24;25700.0;25000.0;25700.0;24950.0;8.27;2.59
4/12/24;25050.0;24950.0;25050.0;24850.0;4.62;0.20
3/12/24;25000.0;25200.0;25200.0;24950.0;6.13;-0.60
2/12/24;25150.0;25250.0;25350.0;25050.0;2.49;-0.20
29/11/24;25200.0;25150.0;25200.0;25000.0;3.88;0.20
28/11/24;25150.0;25150.0;25200.0;24950.0;4.59;0.40
27/11/24;25050.0;24950.0;25200.0;24950.0;2.74;0.20
26/11/24;25000.0;24900.0;25100.0;24850.0;3.56;0.40
25/11/24;24900.0;24950.0;25000.0;24800.0;4.11;-0.20
22/11/24;24950.0;24850.0;24950.0;24650.0;5.69;0.40
21/11/24;24850.0;24500.0;24850.0;24250.0;7.58;1.43
20/11/24;24500.0;24200.0;24550.0;24150.0;6.24;0.82
19/11/24;24300.0;24500.0;24550.0;24300.0;5.78;-0.82
18/11/24;24500.0;24400.0;24600.0;24100.0;8.11;0.41
15/11/24;24400.0;24550.0;24600.0;24300.0;9.28;-0.61
14/11/24;24550.0;24650.0;24850.0;24550.0;5.80;-1.41
13/11/24;24900.0;24800.0;24900.0;24600.0;6.39;0.20
12/11/24;24850.0;24800.0;24950.0;24650.0;4.14;0.00
11/11/24;24850.0;24900.0;25000.0;24650.0;6.74;-0.20
8/11/24;24900.0;25100.0;25200.0;24750.0;8.22;-0.80
7/11/24;25100.0;25200.0;25300.0;24900.0;4.84;0.00
6/11/24;25100.0;24900.0;25200.0;24800.0;6.24;1.41
5/11/24;24750.0;24800.0;24900.0;24750.0;3.07;0.00
4/11/24;24750.0;25000.0;25050.0;24650.0;9.12;-0.60
1/11/24;24900.0;25300.0;25400.0;24900.0;7.86;-1.97
31/10/24;25400.0;25100.0;25450.0;25050.0;5.07;1.20
30/10/24;25100.0;25200.0;25250.0;24950.0;3.87;-0.40
29/10/24;25200.0;25300.0;25300.0;25100.0;4.18;0.20
28/10/24;25150.0;24900.0;25150.0;24750.0;5.00;1.00
25/10/24;24900.0;25000.0;25100.0;24850.0;9.22;-0.40
24/10/24;25000.0;25400.0;25450.0;25000.0;8.93;-1.57
23/10/24;25400.0;25400.0;25550.0;25150.0;7.70;0.00
22/10/24;25400.0;25800.0;25850.0;25400.0;12.12;-1.55
21/10/24;25800.0;26000.0;26100.0;25800.0;5.53;-1.15
18/10/24;26100.0;26250.0;26500.0;25950.0;11.49;-0.19
17/10/24;26150.0;25900.0;26150.0;25750.0;9.20;1.55
16/10/24;25750.0;25750.0;25850.0;25600.0;5.40;-0.39
15/10/24;25850.0;25950.0;26200.0;25800.0;7.11;-0.39
14/10/24;25950.0;26150.0;26250.0;25950.0;9.03;-0.57
11/10/24;26100.0;26100.0;26150.0;25900.0;6.56;-0.38
